# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.WAL.flushesForcedByOverflow,1785878144870000000,1785878204883000000,0
FilePageCache.WAL.bytesQueued,1785878144870000000,1785878204883000000,48125432
FilePageCache.WAL.bytesCopiedByApplyUnfinished,1785878144870000000,1785878204883000000,0
MappedFileStorage.totalPagesMapped,1785878144870000000,1785878204883000000,17
FilePageCache.uncachedFileAccess,1785878144870000000,1785878204883000000,3626
FilePageCache.WAL.entriesFlushedOnClose,1785878144870000000,1785878204883000000,0
FilePageCache.WAL.entriesFlushed,1785878144870000000,1785878204883000000,4282
MappedFileStorage.storages,1785878144870000000,1785878204883000000,17
FilePageCache.maxCacheSizeInBytes,1785878144870000000,1785878204883000000,629153792
FilePageCache.disposedBuffers,1785878144870000000,1785878204883000000,583
DirectByteBufferAllocator.hits,1785878144870000000,1785878204883000000,277
MappedFileStorage.totalTimeSpentOnMappingUs,1785878144870000000,1785878204883000000,7317
DirectByteBufferAllocator.disposed,1785878144870000000,1785878204883000000,305
DirectByteBufferAllocator.reclaimed,1785878144870000000,1785878204883000000,278
StorageLockContext.competingThreads.avg,1785878144870000000,1785878204883000000,0.0
FilePageCache.WAL.entriesFlushedOnForce,1785878144870000000,1785878204883000000,0
FilePageCache.capacityInBytes,1785878144870000000,1785878204883000000,629145600
FilePageCache.pageHits,1785878144870000000,1785878204883000000,88019
StreamlinedBlobStorage.recordsRelocated,1785878144870000000,1785878204883000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1785878144870000000,1785878204883000000,629161984
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1785878144870000000,1785878204883000000,754758
DirectByteBufferAllocator.misses,1785878144870000000,1785878204883000000,907
StorageLockContext.competingThreads.90P,1785878144870000000,1785878204883000000,0
FilePageCache.pageLoads,1785878144870000000,1785878204883000000,948
MappedFileStorage.totalBytesMapped,1785878144870000000,1785878204883000000,266600448
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1785878144870000000,1785878204883000000,3265919
StreamlinedBlobStorage.recordsDeleted,1785878144870000000,1785878204883000000,4
StreamlinedBlobStorage.recordsAllocated,1785878144870000000,1785878204883000000,45714
FilePageCache.maxRegisteredFiles,1785878144870000000,1785878204883000000,1796
FilePageCache.totalBytesStored,1785878144870000000,1785878204883000000,37839336
FilePageCache.totalPageStoresUs,1785878144870000000,1785878204883000000,33178
FileChannelInterruptsRetryer.totalRetriedAttempts,1785878144870000000,1785878204883000000,0
FilePageCache.WAL.entriesFlushedOnRead,1785878144870000000,1785878204883000000,14
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1785878144870000000,1785878204883000000,1048576
FilePageCache.pageLoadsAboveSizeThreshold,1785878144870000000,1785878204883000000,236
StorageLockContext.competingThreads.max,1785878144870000000,1785878204883000000,0
FilePageCache.totalPageLoadsUs,1785878144870000000,1785878204883000000,517297
FilePageCache.pageFastCacheHits,1785878144870000000,1785878204883000000,4086569
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1785878204883000000,1785878210023000000,0
workspaceModel.cachedValueWithParameters.clear.count,1785878204883000000,1785878210023000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1785878204883000000,1785878210023000000,0
workspaceModel.init.bridges.ms,1785878204883000000,1785878210023000000,0
workspaceModel.pre.handlers.ms,1785878204883000000,1785878210023000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1785878204883000000,1785878210023000000,0
workspaceModel.workspaceFileIndexData.instances.count,1785878204883000000,1785878210023000000,0
workspaceModel.loading.from.cache.ms,1785878204883000000,1785878210023000000,0
workspaceModel.updates.count,1785878204883000000,1785878210023000000,0
workspaceModel.cachedValue.calculated.count,1785878204883000000,1785878210023000000,1
workspaceModel.cachedValue.clear.count,1785878204883000000,1785878210023000000,0
workspaceModel.check.recursive.update.ms,1785878204883000000,1785878210023000000,0
workspaceModel.on.changed.ms,1785878204883000000,1785878210023000000,0
workspaceModel.non.incremental.contributors.total.update.time.ms,1785878204883000000,1785878210023000000,0
workspaceModel.non.incremental.contributors.exclude.roots.computation.time.ms,1785878204883000000,1785878210023000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1785878204883000000,1785878210023000000,0
workspaceModel.collect.changes.ms,1785878204883000000,1785878210023000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1785878204883000000,1785878210023000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1785878204883000000,1785878210023000000,0
workspaceModel.updates.precise.ms,1785878204883000000,1785878210023000000,0
workspaceModel.cachedValue.from.cache.count,1785878204883000000,1785878210023000000,3
workspaceModel.to.snapshot.ms,1785878204883000000,1785878210023000000,0
workspaceModel.loading.total.ms,1785878204883000000,1785878210023000000,0
workspaceModel.non.incremental.contributors.file.sets.computation.time.ms,1785878204883000000,1785878210023000000,0
workspaceModel.update.unloaded.entities.ms,1785878204883000000,1785878210023000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1785878204883000000,1785878210023000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1785878204883000000,1785878210023000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1785878204883000000,1785878210023000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1785878204883000000,1785878210023000000,0
workspaceModel.workspaceFileIndexData.init.ms,1785878204883000000,1785878210023000000,0
workspaceModel.on.before.changed.ms,1785878204883000000,1785878210023000000,0
workspaceModel.cachedValue.total.get.count,1785878204883000000,1785878210023000000,4
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1785878204883000000,1785878210023000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1785878204883000000,1785878210023000000,0
workspaceModel.replace.project.model.ms,1785878204883000000,1785878210023000000,0
workspaceModel.initializing.ms,1785878204883000000,1785878210023000000,0
workspaceModel.full.replace.project.model.ms,1785878204883000000,1785878210023000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1785878204883000000,1785878210023000000,0
workspaceModel.updates.ms,1785878204883000000,1785878210023000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1785878204883000000,1785878210023000000,2142
NonBlockingReadAction.failedExecutionsCount,1785878204883000000,1785878210023000000,0
NonBlockingReadAction.finalizedExecutionsCount,1785878204883000000,1785878210023000000,2
NonBlockingReadAction.failedExecutionTimeUs,1785878204883000000,1785878210023000000,0
AWTEventQueue.dispatchTimeTotalNS,1785878204883000000,1785878210023000000,100491888
writeAction.wait.ms,1785878204883000000,1785878210023000000,1
LowMemory.gcLoad,1785878204883000000,1785878210023000000,0.0
writeAction.median.wait.ms,1785878204883000000,1785878210023000000,0
writeAction.max.wait.ms,1785878204883000000,1785878210023000000,27
LowMemory.gcOverloaded,1785878204883000000,1785878210023000000,0
writeAction.count,1785878204883000000,1785878210023000000,2
cacheStateStorage.get.duration,1785878204883000000,1785878210023000000,0
cacheStateStorage.get.counter,1785878204883000000,1785878210023000000,0
cacheStateStorage.set.counter,1785878204883000000,1785878210023000000,14
cacheStateStorage.set.duration,1785878204883000000,1785878210023000000,1
jps.apply.loaded.storage.ms,1785878204883000000,1785878210023000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1785878204883000000,1785878210023000000,0
workspaceModel.global.updates.count,1785878204883000000,1785878210023000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1785878204883000000,1785878210023000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1785878204883000000,1785878210023000000,0
jps.modifiable.module.model.bridge.renaming.ms,1785878204883000000,1785878210023000000,0
jps.load.initial.state.ms,1785878204883000000,1785878210023000000,0
jps.app.storage.content.writer.save.component.ms,1785878204883000000,1785878210023000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1785878204883000000,1785878210023000000,0
jps.artifact.entities.serializer.save.entities.ms,1785878204883000000,1785878210023000000,0
workspaceModel.sync.entities.ms,1785878204883000000,1785878210023000000,0
